"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\chat\header2.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\xampp\htdocs\trodi\chat\home.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\xampp\htdocs\trodi\chat\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\trodi\chat\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\trodi\chat\registro.php", "PHP", 99, 0, 0, 0, 0, 0, 8, 22, 129
"c:\xampp\htdocs\trodi\chat\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\chat\sesion.php", "PHP", 103, 0, 0, 0, 0, 0, 6, 15, 124
"c:\xampp\htdocs\trodi\control-index.php", "PHP", 386, 0, 0, 0, 0, 0, 0, 31, 417
"c:\xampp\htdocs\trodi\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\get_messages.php", "PHP", 43, 0, 0, 0, 0, 0, 13, 23, 79
"c:\xampp\htdocs\trodi\index.php", "PHP", 265, 0, 0, 0, 0, 0, 14, 55, 334
"c:\xampp\htdocs\trodi\layouts\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\layouts\footer.php", "PHP", 87, 0, 0, 0, 0, 0, 5, 5, 97
"c:\xampp\htdocs\trodi\layouts\head.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\trodi\layouts\header.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 11, 64
"c:\xampp\htdocs\trodi\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\trodi\nueva_publicacion.php", "PHP", 216, 0, 0, 0, 0, 0, 26, 47, 289
"c:\xampp\htdocs\trodi\nuevo_tutorial.php", "PHP", 256, 0, 0, 0, 0, 0, 26, 60, 342
"c:\xampp\htdocs\trodi\pagina\about.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 13, 98
"c:\xampp\htdocs\trodi\pagina\assets\brand\bootstrap-logo-white.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\trodi\pagina\assets\brand\bootstrap-logo.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\trodi\pagina\assets\dist\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\pagina\assets\dist\css\bootstrap.rtl.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\pagina\assets\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\trodi\pagina\assets\js\color-modes.js", "JavaScript", 0, 0, 0, 60, 0, 0, 5, 16, 81
"c:\xampp\htdocs\trodi\pagina\chat.css", "CSS", 0, 143, 0, 0, 0, 0, 4, 26, 173
"c:\xampp\htdocs\trodi\pagina\chat.js", "JavaScript", 0, 0, 0, 29, 0, 0, 2, 5, 36
"c:\xampp\htdocs\trodi\pagina\chat.php", "PHP", 69, 0, 0, 0, 0, 0, 1, 7, 77
